cluster id	num of members	protein name	centroid genome	centroid locus	role_ids	attributes	7978mff	1279779	LAC4b	B8300	A1296	HWBA8	AB031	ab736	manniia	KAB07	bH12OA2	A1	JAB0715	OMTU433	3207	6200	B8342	ABNIH28	ZW851	
3658	3	hypothetical protein	7978mff	ACX60_RS18950	0		ACX60_RS18950					B7L46_RS00335								IOMTU433_RS19805						
3659	3	hypothetical protein	7978mff	ACX60_RS18955	0		ACX60_RS18955					B7L46_RS00340								IOMTU433_RS19800						
3660	3	helicase	7978mff	ACX60_RS18960	0		ACX60_RS18960					B7L46_RS00345								IOMTU433_RS19795						
3661	3	hypothetical protein	7978mff	ACX60_RS18965	0		ACX60_RS18965					B7L46_RS00350								IOMTU433_RS19790						
3662	3	hypothetical protein	7978mff	ACX60_RS18970	0		ACX60_RS18970					B7L46_RS00355								IOMTU433_RS19785						
3663	3	hypothetical protein	7978mff	ACX60_RS18975	0		ACX60_RS18975					B7L46_RS00360								IOMTU433_RS19780						
3664	3	hypothetical protein	7978mff	ACX60_RS18980	0		ACX60_RS18980					B7L46_RS00365								IOMTU433_RS19775						
3665	3	hypothetical protein	7978mff	ACX60_RS18985	0		ACX60_RS18985					B7L46_RS00370								IOMTU433_RS19770						
3666	11	RepB family plasmid replication initiator protein	1279779	ABD1_RS17570	0	FG-In		ABD1_RS17570	RR41_RS19040	AB987_RS18635	BS103_RS18400	B7L46_RS00060		A4U85_RS19070	ABCIP7010_RS18300	KAB07_RS11875				IOMTU433_RS18995		RU84_RS19380		C2U32_RS18635		
3667	11	hypothetical protein	1279779	ABD1_RS17575	0	FG-In		ABD1_RS17575	RR41_RS19045	AB987_RS18640	BS103_RS18405	B7L46_RS00055		A4U85_RS19075	ABCIP7010_RS18305	KAB07_RS11900				IOMTU433_RS19000		RU84_RS19375		C2U32_RS18640		
3668	4	hypothetical protein	1279779	ABD1_RS17580	0			ABD1_RS17580	RR41_RS19050													RU84_RS19370		C2U32_RS18645		
3669	7	diaminopimelate decarboxylase	1279779	ABD1_RS17585	0			ABD1_RS17585	RR41_RS19055	AB987_RS16280				A4U85_RS19085					BJAB0715_RS19255			RU84_RS19345		C2U32_RS18590		
3670	7	XRE family transcriptional regulator	JAB0715	BJAB0715_RS19260	0			ABD1_RS17590	RR41_RS19060	AB987_RS16285				A4U85_RS19090					BJAB0715_RS19260			RU84_RS19350		C2U32_RS19585		
3671	6	hypothetical protein	1279779	ABD1_RS17595	0			ABD1_RS17595	RR41_RS19065					A4U85_RS19095					BJAB0715_RS19265			RU84_RS19355		C2U32_RS18675		
3672	6	sel1 repeat family protein	ab736	A4U85_RS19100	0			ABD1_RS17600						A4U85_RS19100				ABA1_RS18645	BJAB0715_RS19270			RU84_RS19360		C2U32_RS18600		
3673	5	SMI1/KNR4 family protein	JAB0715	BJAB0715_RS19275	0			ABD1_RS17605						A4U85_RS19040					BJAB0715_RS19275			RU84_RS19365		C2U32_RS19570		
3675	5	hypothetical protein	1279779	ABD1_RS17615	0			ABD1_RS17615	RR41_RS19075	AB987_RS18775												RU84_RS19330		C2U32_RS18625		
3676	5	hypothetical protein	1279779	ABD1_RS17955	0			ABD1_RS17955	RR41_RS19530	AB987_RS18780												RU84_RS19875		C2U32_RS18630		
3677	3	Vi polysaccharide biosynthesis UDP-N-acetylglucosaminuronic acid C-4 epimerase TviC	1279779	ABD1_RS00285	0			ABD1_RS00285								KAB07_RS00420		ABA1_RS00455								
3678	2	hypothetical protein	1279779	ABD1_RS00290	0			ABD1_RS00290								KAB07_RS00425										
3679	2	glycosyltransferase family 1 protein	1279779	ABD1_RS00300	0			ABD1_RS00300								KAB07_RS00440										
3680	2	glycosyltransferase family 1 protein	1279779	ABD1_RS00305	0			ABD1_RS00305								KAB07_RS00445										
3681	4	UDP-glucose 4-epimerase	1279779	ABD1_RS00310	0			ABD1_RS00310	RR41_RS18575							KAB07_RS00450			BJAB0715_RS00540							
3682	4	UDP-2-acetamido-2,6-dideoxy-beta-L-talose 4-dehydrogenase	1279779	ABD1_RS00315	0			ABD1_RS00315	RR41_RS18570							KAB07_RS00455			BJAB0715_RS00545							
3683	4	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)	1279779	ABD1_RS00320	0			ABD1_RS00320	RR41_RS18565							KAB07_RS00460			BJAB0715_RS00550							
3684	4	glycosyltransferase WbuB	1279779	ABD1_RS00325	0			ABD1_RS00325	RR41_RS18560							KAB07_RS00465			BJAB0715_RS00555							
3685	3	UDP-glucose 4-epimerase	1279779	ABD1_RS00330	0			ABD1_RS00330								KAB07_RS00470			BJAB0715_RS00560							
3686	4	glycosyl transferase	KAB07	KAB07_RS00475	0			ABD1_RS00335	RR41_RS18550							KAB07_RS00475			BJAB0715_RS00565							
3687	6	hypothetical protein	1279779	ABD1_RS00415	0			ABD1_RS00415							ABCIP7010_RS00420	KAB07_RS00555	LX00_RS00585			IOMTU433_RS18485		RU84_RS17900				
3688	3	hypothetical protein	1279779	ABD1_RS17645	0			ABD1_RS17645							ABCIP7010_RS18370	KAB07_RS19570										
3689	5	DUF4844 domain-containing protein	A1	ABA1_RS00590	0			ABD1_RS00430					IX88_RS02700				LX00_RS00600	ABA1_RS00590		IOMTU433_RS18460						
3690	3	hypothetical protein	1279779	ABD1_RS00445	0			ABD1_RS00445	RR41_RS18425										BJAB0715_RS00695							
3691	6	hypothetical protein	1279779	ABD1_RS00450	0			ABD1_RS00450	RR41_RS18420					A4U85_RS18215	ABCIP7010_RS00475				BJAB0715_RS00700						P795_RS16950	
3700	2	hypothetical protein	1279779	ABD1_RS01505	0			ABD1_RS01505										ABA1_RS01955								
3701	5	hypothetical protein	HWBA8	B7L46_RS11375	0			ABD1_RS02315			BS103_RS02290	B7L46_RS11375							BJAB0715_RS02625				AB895_RS09800			
3702	2	IS5-like element ISAba13 family transposase	1279779	ABD1_RS02700	0			ABD1_RS02700												IOMTU433_RS16260						
3703	10	hypothetical protein	B8342	AB895_RS10200	0	FG-In		ABD1_RS02750		AB987_RS04555		B7L46_RS11790	IX88_RS18005		ABCIP7010_RS02745			ABA1_RS03125		IOMTU433_RS16205	Aba3207_RS14185	RU84_RS15665	AB895_RS10200			
3704	9	hypothetical protein	B8342	AB895_RS10205	0			ABD1_RS02755		AB987_RS04550		B7L46_RS11795			ABCIP7010_RS02750			ABA1_RS03130		IOMTU433_RS16200	Aba3207_RS14190	RU84_RS15660	AB895_RS10205			
3725	6	YqaJ-like viral recombinase	A1296	BS103_RS02660	0			ABD1_RS02930		AB987_RS08640	BS103_RS02660		IX88_RS07370	A4U85_RS13085					BJAB0715_RS02975							
3726	6	hypothetical protein	AB031	IX88_RS07375	0			ABD1_RS02935		AB987_RS08645	BS103_RS02665		IX88_RS07375	A4U85_RS13080					BJAB0715_RS02980							
3732	5	TetR/AcrR family transcriptional regulator	ab736	A4U85_RS15445	0			ABD1_RS03505					IX88_RS05515	A4U85_RS15445								RU84_RS14930		C2U32_RS17870		
3733	5	HPP family protein	ABNIH28	C2U32_RS17875	0			ABD1_RS03510					IX88_RS05520	A4U85_RS15440								RU84_RS14925		C2U32_RS17875		
3734	7	hypothetical protein	A1296	BS103_RS03515	0			ABD1_RS03580			BS103_RS03515	B7L46_RS12625	IX88_RS05580	A4U85_RS15375		KAB07_RS19610							AB895_RS10955			
3735	9	TetR/AcrR family transcriptional regulator	ABNIH28	C2U32_RS17940	0	FG-In		ABD1_RS03585	RR41_RS15560			B7L46_RS12630	IX88_RS05585	A4U85_RS15370	ABCIP7010_RS03525	KAB07_RS03580		ABA1_RS03845						C2U32_RS17940		
3741	2	hypothetical protein	1279779	ABD1_RS03615	0			ABD1_RS03615																	P795_RS14070	
3742	10	LysR family transcriptional regulator	1279779	ABD1_RS03620	0			ABD1_RS03620			BS103_RS03535	B7L46_RS12645	IX88_RS05620		ABCIP7010_RS03550	KAB07_RS03595	LX00_RS03400	ABA1_RS03870	BJAB0715_RS03750		Aba3207_RS15080					
3743	10	PhzF family protein	1279779	ABD1_RS03625	0			ABD1_RS03625			BS103_RS03540	B7L46_RS12650	IX88_RS05625		ABCIP7010_RS03555	KAB07_RS03600	LX00_RS03405	ABA1_RS03875	BJAB0715_RS03755		Aba3207_RS15085					
3744	18	hypothetical protein	1279779	ABD1_RS03650	0			ABD1_RS03650	RR41_RS15535	AB987_RS03750	BS103_RS03565	B7L46_RS12675	IX88_RS05650	A4U85_RS15305	ABCIP7010_RS03580	KAB07_RS03715	LX00_RS03430	ABA1_RS03900	BJAB0715_RS03785	IOMTU433_RS15380	Aba3207_RS15110	RU84_RS14810	AB895_RS10990	C2U32_RS17995	P795_RS14035	
3745	6	hypothetical protein	1279779	ABD1_RS03835	0			ABD1_RS03835			BS103_RS03745	B7L46_RS12860								IOMTU433_RS15195		RU84_RS14630			P795_RS13855	
3746	8	DUF4102 domain-containing protein	JAB0715	BJAB0715_RS05115	0			ABD1_RS04450	RR41_RS08440	AB987_RS02910				A4U85_RS14480	ABCIP7010_RS04395				BJAB0715_RS05115				AB895_RS11965	C2U32_RS00740		
3749	4	hypothetical protein	1279779	ABD1_RS04470	0			ABD1_RS04470												IOMTU433_RS14540				C2U32_RS00825	P795_RS13215	
3750	3	hypothetical protein	1279779	ABD1_RS04475	0			ABD1_RS04475												IOMTU433_RS14535					P795_RS13210	
3751	2	DUF4357 domain-containing protein	1279779	ABD1_RS04480	0			ABD1_RS04480																	P795_RS13190	
3752	4	hypothetical protein	KAB07	KAB07_RS05040	0			ABD1_RS04490					IX88_RS06500			KAB07_RS05040				IOMTU433_RS14525						
3753	17	DUF1275 domain-containing protein	1279779	ABD1_RS04525	0			ABD1_RS04525	RR41_RS08535		BS103_RS04675	B7L46_RS13645	IX88_RS06535	A4U85_RS14265	ABCIP7010_RS04500	KAB07_RS05115	LX00_RS04580	ABA1_RS04775	BJAB0715_RS05275	IOMTU433_RS14450	Aba3207_RS16050	RU84_RS13145	AB895_RS12090	C2U32_RS00890	P795_RS13115	
3754	7	hypothetical protein	1279779	ABD1_RS05120	0			ABD1_RS05120						A4U85_RS13675		KAB07_RS05705		ABA1_RS05350	BJAB0715_RS05845		Aba3207_RS16645			C2U32_RS08710		
3755	6	hypothetical protein	AB031	IX88_RS12460	0			ABD1_RS05145				B7L46_RS20465	IX88_RS12460					ABA1_RS05375		IOMTU433_RS13830					P795_RS12500	
3756	7	helix-turn-helix domain-containing protein	1279779	ABD1_RS05150	0			ABD1_RS05150		AB987_RS01615		B7L46_RS20460	IX88_RS12455					ABA1_RS05380		IOMTU433_RS13825					P795_RS12495	
3757	6	XRE family transcriptional regulator	1279779	ABD1_RS05155	0			ABD1_RS05155				B7L46_RS20455	IX88_RS12450					ABA1_RS05385		IOMTU433_RS13820					P795_RS12490	
3758	12	hypothetical protein	OMTU433	IOMTU433_RS13815	0			ABD1_RS05160	RR41_RS07580	AB987_RS01605		B7L46_RS20450	IX88_RS12445			KAB07_RS13070		ABA1_RS05390		IOMTU433_RS13815	Aba3207_RS16705	RU84_RS12520	AB895_RS13385		P795_RS12485	
3759	15	DUF559 domain-containing protein	1279779	ABD1_RS05195	0			ABD1_RS05195	RR41_RS07625	AB987_RS01565	BS103_RS06000	B7L46_RS20415	IX88_RS12395	A4U85_RS13575		KAB07_RS05805		ABA1_RS05435	BJAB0715_RS05945	IOMTU433_RS12890	Aba3207_RS16745	RU84_RS12480	AB895_RS13430		P795_RS12450	
3760	13	hypothetical protein	1279779	ABD1_RS05200	0			ABD1_RS05200		AB987_RS01560	BS103_RS06005	B7L46_RS20410	IX88_RS12390	A4U85_RS13570		KAB07_RS05810		ABA1_RS05440	BJAB0715_RS05950		Aba3207_RS16750	RU84_RS12475	AB895_RS13435		P795_RS12445	
3761	14	hypothetical protein	1279779	ABD1_RS05205	0			ABD1_RS05205	RR41_RS09135	AB987_RS01555	BS103_RS06010	B7L46_RS20405	IX88_RS12385	A4U85_RS13565		KAB07_RS05815		ABA1_RS05445	BJAB0715_RS05955		Aba3207_RS16755	RU84_RS12470	AB895_RS13440		P795_RS12440	
3762	16	hypothetical protein	LAC4b	RR41_RS09140	0			ABD1_RS05210	RR41_RS09140	AB987_RS01550	BS103_RS06020	B7L46_RS20390	IX88_RS14685	A4U85_RS13545		KAB07_RS05835	LX00_RS12665	ABA1_RS05460	BJAB0715_RS05975	IOMTU433_RS12875	Aba3207_RS16760	RU84_RS12455	AB895_RS13450		P795_RS12425	
3763	17	hypothetical protein	bH12OA2	LX00_RS12660	0			ABD1_RS05215	RR41_RS09145	AB987_RS01545	BS103_RS06025	B7L46_RS15330	IX88_RS14680	A4U85_RS13540		KAB07_RS05840	LX00_RS12660	ABA1_RS05465	BJAB0715_RS05980	IOMTU433_RS12870	Aba3207_RS16765	RU84_RS12450	AB895_RS13455	C2U32_RS19675	P795_RS12420	
3764	17	hypothetical protein	ZW851	P795_RS12415	0			ABD1_RS05220	RR41_RS09150	AB987_RS01535	BS103_RS06030	B7L46_RS15335	IX88_RS12350	A4U85_RS13535		KAB07_RS05845	LX00_RS12655	ABA1_RS05470	BJAB0715_RS05985	IOMTU433_RS12865	Aba3207_RS16770	RU84_RS12440	AB895_RS13460	C2U32_RS19670	P795_RS12415	
3766	3	hypothetical protein	KAB07	KAB07_RS13305	0			ABD1_RS05270				B7L46_RS02560				KAB07_RS13305										
3767	4	hypothetical protein	1279779	ABD1_RS05315	0			ABD1_RS05315								KAB07_RS13250			BJAB0715_RS06075		Aba3207_RS16865					
3768	4	DUF4258 domain-containing protein	1279779	ABD1_RS05335	0			ABD1_RS05335						A4U85_RS13405		KAB07_RS05970			BJAB0715_RS06095							
3769	4	transcriptional regulator	1279779	ABD1_RS05340	0			ABD1_RS05340						A4U85_RS13400		KAB07_RS05975			BJAB0715_RS06100							
3771	6	hypothetical protein	ab736	A4U85_RS13390	0			ABD1_RS05355						A4U85_RS13390		KAB07_RS05985			BJAB0715_RS06110	IOMTU433_RS13635		RU84_RS12310				
3772	9	phage tail tape measure protein	ab736	A4U85_RS13385	0	FG-In		ABD1_RS05360	RR41_RS07740					A4U85_RS13385		KAB07_RS05990			BJAB0715_RS06115	IOMTU433_RS13630	Aba3207_RS16895	RU84_RS12305			P795_RS12290	
3775	4	hypothetical protein	1279779	ABD1_RS05405	0	FG-In		ABD1_RS05405	RR41_RS09180											IOMTU433_RS13600	Aba3207_RS16920					
3776	5	hypothetical protein	1279779	ABD1_RS05410	0			ABD1_RS05410	RR41_RS09185			B7L46_RS20225								IOMTU433_RS13595	Aba3207_RS16925					
3777	12	hypothetical protein	1279779	ABD1_RS05415	0			ABD1_RS05415	RR41_RS09190				IX88_RS12170	A4U85_RS13350		KAB07_RS06025		ABA1_RS05650	BJAB0715_RS06150	IOMTU433_RS13590	Aba3207_RS16930	RU84_RS12270	AB895_RS13640		P795_RS12255	
3778	7	TonB-dependent receptor	1279779	ABD1_RS05420	0			ABD1_RS05420	RR41_RS09195					A4U85_RS13345		KAB07_RS06030			BJAB0715_RS06155	IOMTU433_RS13585	Aba3207_RS16935					
3779	7	lipid A phosphoethanolamine transferase	ab736	A4U85_RS13340	0			ABD1_RS05425			BS103_RS06170			A4U85_RS13340		KAB07_RS06035			BJAB0715_RS06160	IOMTU433_RS13580	Aba3207_RS16940					
3780	10	integrase	OMTU433	IOMTU433_RS13575	0			ABD1_RS05430	RR41_RS09210					A4U85_RS13330		KAB07_RS06045		ABA1_RS05670	BJAB0715_RS06170	IOMTU433_RS13575	Aba3207_RS16945	RU84_RS12235			P795_RS12210	
3781	3	hypothetical protein	1279779	ABD1_RS05605	0			ABD1_RS05605								KAB07_RS06235		ABA1_RS05875								
3782	10	hypothetical protein	1279779	ABD1_RS05610	0	FG-In		ABD1_RS05610	RR41_RS09590	AB987_RS02015	BS103_RS05445	B7L46_RS14405	IX88_RS07480				LX00_RS05365	ABA1_RS05880		IOMTU433_RS13385				C2U32_RS01720		
3783	6	hypothetical protein	bH12OA2	LX00_RS18505	0			ABD1_RS17735				B7L46_RS14410	IX88_RS18205				LX00_RS18505	ABA1_RS18920		IOMTU433_RS20270						
3784	9	protein involved in formation of curli polymers	JAB0715	BJAB0715_RS06365	0			ABD1_RS05625			BS103_RS05545	B7L46_RS14505		A4U85_RS12940	ABCIP7010_RS05325				BJAB0715_RS06365				AB895_RS13190	C2U32_RS01735	P795_RS12010	
3785	9	DUF4810 domain-containing protein	1279779	ABD1_RS05630	0			ABD1_RS05630			BS103_RS05550	B7L46_RS14510		A4U85_RS12935	ABCIP7010_RS05330				BJAB0715_RS06370				AB895_RS13195	C2U32_RS01740	P795_RS12005	
3786	9	hypothetical protein	1279779	ABD1_RS05635	0			ABD1_RS05635			BS103_RS05555	B7L46_RS14515		A4U85_RS12930	ABCIP7010_RS05335				BJAB0715_RS06375				AB895_RS13200	C2U32_RS01745	P795_RS12000	
3787	4	IS5 family transposase ISAba13	LAC4b	RR41_RS09730	0			ABD1_RS05700	RR41_RS09730	AB987_RS01940														C2U32_RS01805		
3789	9	hypothetical protein	AB031	IX88_RS14805	0			ABD1_RS05780		AB987_RS01655	BS103_RS05905		IX88_RS14805			KAB07_RS13510	LX00_RS12760			IOMTU433_RS12985	Aba3207_RS05950		AB895_RS13335			
3790	4	hypothetical protein	ABNIH28	C2U32_RS08705	0			ABD1_RS05790								KAB07_RS13115					Aba3207_RS16650			C2U32_RS08705		
3791	2	hypothetical protein	1279779	ABD1_RS05795	0			ABD1_RS05795													Aba3207_RS16655					
3792	6	hypothetical protein	3207	Aba3207_RS16660	0			ABD1_RS05800					IX88_RS12475	A4U85_RS12580						IOMTU433_RS12965	Aba3207_RS16660			C2U32_RS01905		
3793	5	hypothetical protein	ABNIH28	C2U32_RS01910	0			ABD1_RS05805					IX88_RS12470	A4U85_RS12575						IOMTU433_RS12960				C2U32_RS01910		
3794	4	hypothetical protein	1279779	ABD1_RS05815	0			ABD1_RS05815						A4U85_RS13635		KAB07_RS05745			BJAB0715_RS05885							
3795	4	hypothetical protein	1279779	ABD1_RS05820	0			ABD1_RS05820						A4U85_RS13630		KAB07_RS05750			BJAB0715_RS05890							
3796	5	hypothetical protein	ab736	A4U85_RS13625	0			ABD1_RS05825						A4U85_RS13625		KAB07_RS05755	LX00_RS03960		BJAB0715_RS05895							
3797	7	phage repressor protein	ab736	A4U85_RS13620	0			ABD1_RS05830						A4U85_RS13620		KAB07_RS05760	LX00_RS03965		BJAB0715_RS05900		Aba3207_RS00555		AB895_RS16275			
3798	3	hypothetical protein	1279779	ABD1_RS05835	0			ABD1_RS05835								KAB07_RS13455	LX00_RS03970									
3799	4	hypothetical protein	ab736	A4U85_RS13610	0			ABD1_RS05840						A4U85_RS13610		KAB07_RS05770			BJAB0715_RS05910							
3800	7	hypothetical protein	3207	Aba3207_RS16715	0			ABD1_RS05850	RR41_RS07590					A4U85_RS13600		KAB07_RS05780			BJAB0715_RS05920		Aba3207_RS16715	RU84_RS12510				
3801	7	replication protein	ab736	A4U85_RS13595	0			ABD1_RS05855	RR41_RS07595					A4U85_RS13595		KAB07_RS05785			BJAB0715_RS05925		Aba3207_RS16720	RU84_RS12505				
3802	5	hypothetical protein	AB031	IX88_RS14705	0			ABD1_RS05875					IX88_RS14705	A4U85_RS12520		KAB07_RS13385								C2U32_RS01970		
3803	5	antitermination protein	ab736	A4U85_RS12510	0			ABD1_RS05885					IX88_RS14695	A4U85_RS12510		KAB07_RS13375								C2U32_RS01980		
3804	6	hypothetical protein	HWBA8	B7L46_RS15320	0			ABD1_RS05890				B7L46_RS15320	IX88_RS14690			KAB07_RS13365	LX00_RS12670			IOMTU433_RS07620						
3805	4	hypothetical protein	1279779	ABD1_RS05895	0			ABD1_RS05895												IOMTU433_RS07625			AB895_RS00175	C2U32_RS08615		
3806	3	hypothetical protein	B8342	AB895_RS00160	0			ABD1_RS05910												IOMTU433_RS07640			AB895_RS00160			
3807	3	DUF2280 domain-containing protein	1279779	ABD1_RS05915	0			ABD1_RS05915												IOMTU433_RS07645			AB895_RS00155			
3808	2	phage terminase large subunit	1279779	ABD1_RS05920	0			ABD1_RS05920															AB895_RS00150			
3809	2	DUF4055 domain-containing protein	1279779	ABD1_RS05925	0			ABD1_RS05925															AB895_RS00145			
3810	2	phage head morphogenesis protein	1279779	ABD1_RS05930	0			ABD1_RS05930															AB895_RS00140			
3811	2	hypothetical protein	1279779	ABD1_RS05935	0			ABD1_RS05935															AB895_RS00130			
3827	8	hypothetical protein	OMTU433	IOMTU433_RS13625	0			ABD1_RS06050	RR41_RS07745					A4U85_RS13380		KAB07_RS05995			BJAB0715_RS06120	IOMTU433_RS13625		RU84_RS12300			P795_RS12285	
3830	5	DUF1833 domain-containing protein	1279779	ABD1_RS06065	0			ABD1_RS06065						A4U85_RS05760		KAB07_RS13185			BJAB0715_RS12175	IOMTU433_RS07775						
3831	2	hypothetical protein	1279779	ABD1_RS06070	0			ABD1_RS06070												IOMTU433_RS07780						
3832	2	hypothetical protein	1279779	ABD1_RS06075	0			ABD1_RS06075												IOMTU433_RS07785						
3839	10	sel1 repeat family protein	LAC4b	RR41_RS10570	0	FS		ABD1_RS06670	RR41_RS10570							KAB07_RS06905	LX00_RS06215	ABA1_RS06940	BJAB0715_RS07275		Aba3207_RS17980		AB895_RS14270	C2U32_RS02810	P795_RS11110	
3840	5	hypothetical protein	1279779	ABD1_RS06675	0			ABD1_RS06675								KAB07_RS06910		ABA1_RS06945					AB895_RS14275		P795_RS11105	
3841	5	hypothetical protein	A1	ABA1_RS06950	0			ABD1_RS06680					IX88_RS08420					ABA1_RS06950					AB895_RS14280	C2U32_RS02815		
3842	5	hypothetical protein	1279779	ABD1_RS06685	0			ABD1_RS06685					IX88_RS08425					ABA1_RS06955					AB895_RS14285	C2U32_RS02820		
3843	2	hypothetical protein	1279779	ABD1_RS17775	0			ABD1_RS17775								KAB07_RS19730										
3844	4	hypothetical protein	1279779	ABD1_RS06735	0			ABD1_RS06735	RR41_RS10625							KAB07_RS06965			BJAB0715_RS07325							
3845	6	hypothetical protein	LAC4b	RR41_RS19400	0			ABD1_RS17780	RR41_RS19400						ABCIP7010_RS18480			ABA1_RS18965	BJAB0715_RS19685						P795_RS18600	
3846	6	hypothetical protein	HWBA8	B7L46_RS15825	0			ABD1_RS06780	RR41_RS10670			B7L46_RS15825			ABCIP7010_RS06360				BJAB0715_RS07370						P795_RS11015	
3847	5	hypothetical protein	LAC4b	RR41_RS10675	0			ABD1_RS06785	RR41_RS10675			B7L46_RS15830			ABCIP7010_RS06365										P795_RS11010	
3848	6	hypothetical protein	LAC4b	RR41_RS10680	0	FG-In		ABD1_RS06795	RR41_RS10680			B7L46_RS15835			ABCIP7010_RS06370				BJAB0715_RS07380						P795_RS11005	
3849	5	hypothetical protein	1279779	ABD1_RS06800	0			ABD1_RS06800	RR41_RS10690			B7L46_RS15845			ABCIP7010_RS06380				BJAB0715_RS07390							
3852	2	hypothetical protein	1279779	ABD1_RS06995	0			ABD1_RS06995						A4U85_RS11045												
3853	2	hypothetical protein	1279779	ABD1_RS07005	0			ABD1_RS07005						A4U85_RS11035												
3854	2	histidine phosphatase family protein	1279779	ABD1_RS07010	0			ABD1_RS07010											BJAB0715_RS07700							
3856	3	DUF2750 domain-containing protein	bH12OA2	LX00_RS13990	0			ABD1_RS07020									LX00_RS13990				Aba3207_RS07165					
3857	2	IS5-like element ISAba13 family transposase	1279779	ABD1_RS07025	0			ABD1_RS07025		AB987_RS00060																
3858	2	IS5-like element ISAba13 family transposase	1279779	ABD1_RS07130	0			ABD1_RS07130		AB987_RS18560																
3860	4	hypothetical protein	ABNIH28	C2U32_RS03925	0			ABD1_RS07750															AB895_RS15835	C2U32_RS03925	P795_RS09735	
3861	4	AraC family transcriptional regulator	ZW851	P795_RS09730	0			ABD1_RS07755															AB895_RS15840	C2U32_RS03930	P795_RS09730	
3862	18	peptidylprolyl isomerase	A1296	BS103_RS08245	0			ABD1_RS08335	RR41_RS12370	AB987_RS17330	BS103_RS08245	B7L46_RS17735	IX88_RS09955	A4U85_RS09410	ABCIP7010_RS08200	KAB07_RS08700	LX00_RS08140	ABA1_RS08885	BJAB0715_RS09240	IOMTU433_RS10100	Aba3207_RS00920	RU84_RS09120	AB895_RS16670	C2U32_RS04545	P795_RS09155	
3863	5	IS5 family transposase	B8342	AB895_RS16905	0			ABD1_RS08570	RR41_RS12595	AB987_RS17100			IX88_RS08430										AB895_RS16905			
3864	6	hypothetical protein	1279779	ABD1_RS08870	0			ABD1_RS08870	RR41_RS12925							KAB07_RS09235		ABA1_RS09395	BJAB0715_RS09775				AB895_RS17220			
3865	17	anthranilate dioxygenase reductase	1279779	ABD1_RS08925	0			ABD1_RS08925	RR41_RS12985	AB987_RS16670	BS103_RS08855	B7L46_RS18370	IX88_RS10550	A4U85_RS08840	ABCIP7010_RS08815	KAB07_RS09305	LX00_RS08760	ABA1_RS09450	BJAB0715_RS09830	IOMTU433_RS09490	Aba3207_RS01820		AB895_RS17285	C2U32_RS05125	P795_RS08540	
3866	17	anthranilate 1,2-dioxygenase small subunit	1279779	ABD1_RS08930	0			ABD1_RS08930	RR41_RS12990	AB987_RS16665	BS103_RS08860	B7L46_RS18375	IX88_RS10555	A4U85_RS08835	ABCIP7010_RS08820	KAB07_RS09310	LX00_RS08765	ABA1_RS09455	BJAB0715_RS09835	IOMTU433_RS09485	Aba3207_RS01825		AB895_RS17290	C2U32_RS05130	P795_RS08535	
3867	17	anthranilate 1,2-dioxygenase large subunit	HWBA8	B7L46_RS18380	0			ABD1_RS08935	RR41_RS12995	AB987_RS16660	BS103_RS08865	B7L46_RS18380	IX88_RS10560	A4U85_RS08830	ABCIP7010_RS08825	KAB07_RS09315	LX00_RS08770	ABA1_RS09460	BJAB0715_RS09840	IOMTU433_RS09480	Aba3207_RS01830		AB895_RS17295	C2U32_RS05135	P795_RS08530	
3868	16	LysR family transcriptional regulator	manniia	ABCIP7010_RS08830	0			ABD1_RS08940	RR41_RS13000	AB987_RS16655	BS103_RS08870	B7L46_RS18385	IX88_RS10565	A4U85_RS08825	ABCIP7010_RS08830	KAB07_RS09320	LX00_RS08775	ABA1_RS09465	BJAB0715_RS09845	IOMTU433_RS09475	Aba3207_RS01835		AB895_RS17300	C2U32_RS05140		
3869	17	molybdate ABC transporter substrate-binding protein	A1296	BS103_RS08875	0			ABD1_RS08945	RR41_RS13005	AB987_RS16650	BS103_RS08875	B7L46_RS18390	IX88_RS10570	A4U85_RS08820	ABCIP7010_RS08835	KAB07_RS09325	LX00_RS08780	ABA1_RS09470	BJAB0715_RS09850	IOMTU433_RS09470	Aba3207_RS01840		AB895_RS17305	C2U32_RS05145	P795_RS08520	
3870	17	molybdate ABC transporter permease subunit	A1	ABA1_RS09475	0			ABD1_RS08950	RR41_RS13010	AB987_RS16645	BS103_RS08880	B7L46_RS18395	IX88_RS10575	A4U85_RS08815	ABCIP7010_RS08840	KAB07_RS09330	LX00_RS08785	ABA1_RS09475	BJAB0715_RS09855	IOMTU433_RS09465	Aba3207_RS01845		AB895_RS17310	C2U32_RS05150	P795_RS08515	
3871	17	molybdenum ABC transporter ATPase	B8300	AB987_RS16640	0			ABD1_RS08955	RR41_RS13015	AB987_RS16640	BS103_RS08885	B7L46_RS18400	IX88_RS10580	A4U85_RS08810	ABCIP7010_RS08845	KAB07_RS09335	LX00_RS08790	ABA1_RS09480	BJAB0715_RS09860	IOMTU433_RS09460	Aba3207_RS01850		AB895_RS17315	C2U32_RS05155	P795_RS08510	
